activity_type,aerobic_training_effect,anaerobic_training_effect,avg_hr,avg_speed,calories,distance,max_ftp,max_hr,duration,begin_timestamp,event_type_id,start_time_gmt,start_time_local,elevation_gain,elevation_loss,max_run_cadence,steps,avg_stride_length,avg_fractional_cadence,max_fractional_cadence,elapsed_duration,moving_duration,min_temperature,max_temperature,min_elevation,max_elevation,avg_double_cadence,max_double_cadence,max_vertical_speed,lap_count,water_estimated,min_respiration_rate,max_respiration_rate,avg_respiration_rate,activity_training_load
2,0.800000011920929,0.30000001192092896,101.0,0.0,502.8024,0.0,197.0,146.0,1330965.9423828125,1587743477000,9,1587743477000.0,1587754277000.0,0.0,0.0,,,,0.0,0.0,1330965.9423828125,0.0,18.0,21.0,39179.998779296875,39820.001220703125,,,0.4800018310546875,1,,,,,
3,0.10000000149011612,0.0,81.0,0.0,251.4012,0.0,197.0,116.0,1161394.04296875,1587741373000,9,1587741373000.0,1587752173000.0,,,,12.0,,0.0,0.0,1161394.04296875,1161394.04296875,21.0,22.0,,,,,,1,,,,,
2,0.30000001192092896,0.0,74.0,0.0,234.64111999999997,0.0,197.0,133.0,1342550.048828125,1587726774000,9,1587726774000.0,1587737574000.0,0.0,0.0,,,,0.0,0.0,1342550.048828125,0.0,23.0,28.0,39520.001220703125,39520.001220703125,,,0.0,1,,,,,
2,0.10000000149011612,0.0,71.0,0.0,247.21117999999998,0.0,197.0,120.0,1585828.9794921875,1587654581000,9,1587654581000.0,1587665381000.0,0.0,0.0,,,,0.0,0.0,1585828.9794921875,0.0,22.0,25.0,39479.998779296875,39479.998779296875,,,0.0,1,,,,,
2,0.20000000298023224,0.0,92.0,0.0,205.31097999999997,0.0,197.0,129.0,639588.9892578125,1587576463000,9,1587576463000.0,1587587263000.0,0.0,0.0,,,,0.0,0.0,639588.9892578125,0.0,21.0,22.0,39660.00061035156,40000.0,,,0.279998779296875,1,,,,,
0,2.299999952316284,0.0,128.0,0.12339999675750733,871.5241599999999,171450.0,197.0,160.0,1389317.0166015625,1587574398000,9,1587574398000.0,1587585198000.0,1100.0,1300.0,80.0,1926.0,113.86762605390541,0.609375,0.5,1389317.0166015625,589000.0,15.0,20.0,39700.0,40420.001220703125,65.21875,161.0,0.30000000000000004,2,,,,,
2,0.10000000149011612,0.0,78.0,0.0,230.45109999999997,0.0,197.0,110.0,1223238.037109375,1587566930000,9,1587566930000.0,1587577730000.0,0.0,0.0,,,,0.0,0.0,1223238.037109375,0.0,23.0,24.0,37900.0,38220.001220703125,,,0.045714460100446434,1,,,,,
0,0.6000000238418579,0.0,120.0,0.17500000000000002,209.50099999999998,70521.9970703125,197.0,134.0,402959.9914550781,1587491401000,9,1587491401000.0,1587502201000.0,500.0,500.0,111.0,484.0,164.19159899208785,0.53125,0.5,402959.9914550781,192000.0,15.0,17.0,38460.00061035156,40279.998779296875,63.0625,223.0,0.579998779296875,11,,,,,
0,1.100000023841858,0.0,114.0,0.12779999971389772,720.6834399999999,192448.9990234375,197.0,141.0,1506089.9658203125,1587489804000,9,1587489804000.0,1587500604000.0,2700.0,3300.0,115.0,1518.0,149.0047225521068,0.96875,0.5,1550418.9453125,501000.0,15.0,19.0,39020.001220703125,40539.99938964844,51.9375,231.0,0.45999755859375,11,,,,,
0,1.2999999523162842,0.0,121.0,0.09390000104904175,527.94252,87369.00024414062,197.0,139.0,930443.9697265625,1587488114000,9,1587488114000.0,1587498914000.0,1200.0,1300.0,94.0,1044.0,106.33523982328306,0.828125,0.5,930443.9697265625,566444.0002441406,16.0,20.0,39360.00061035156,40260.00061035156,53.65625,189.0,0.2,7,,,,,
2,0.30000001192092896,0.0,91.0,0.0,230.45109999999997,0.0,197.0,138.0,738968.994140625,1587486186000,9,1587486186000.0,1587496986000.0,0.0,0.0,,,,0.0,0.0,738968.994140625,0.0,17.0,20.0,39700.0,40239.99938964844,,,0.5399993896484375,1,,,,,
2,0.10000000149011612,0.0,72.0,0.0,171.79082,0.0,197.0,136.0,1048067.0166015625,1587483865000,9,1587483865000.0,1587494665000.0,0.0,0.0,,,,0.0,0.0,1048067.0166015625,0.0,23.0,24.0,39500.0,39960.00061035156,,,0.060000610351562504,1,,,,,
1,1.2000000476837158,0.20000000298023224,109.0,0.20969998836517334,3171.84514,1731291.9921875,197.0,143.0,8254424.8046875,1587394696000,9,1587394696000.0,1587405496000.0,40800.0,30800.0,,,,0.0,0.0,9705545.8984375,5808000.0,19.0,25.0,18819.99969482422,42860.00061035156,,,0.2,4,,,,,
0,1.100000023841858,0.0,114.0,0.060399997234344485,666.21318,92129.99877929688,197.0,143.0,1525295.0439453125,1587377431000,9,1587377431000.0,1587388231000.0,700.0,600.0,82.0,1126.0,97.11342721437798,0.2734375,0.5,1532338.9892578125,419000.0,32.0,35.0,39120.001220703125,39739.99938964844,38.546875,165.0,0.2399993896484375,13,,,,,
3,0.10000000149011612,0.0,83.0,0.0,138.27066,0.0,197.0,94.0,589645.01953125,1587375976000,9,1587375976000.0,1587386776000.0,,,,8.0,,0.0,0.0,589645.01953125,589645.01953125,32.0,34.0,,,,,,1,,,,,
3,0.0,0.0,78.0,0.0,83.8004,0.0,197.0,89.0,451141.9982910156,1587375097000,9,1587375097000.0,1587385897000.0,,,,8.0,,0.0,0.0,451141.9982910156,451141.9982910156,28.0,32.0,,,,,,1,,,,,
3,0.0,0.0,70.0,0.0,108.94051999999999,0.0,197.0,104.0,721294.9829101562,1587373487000,9,1587373487000.0,1587384287000.0,,,,14.0,,0.0,0.0,721294.9829101562,721294.9829101562,28.0,32.0,,,,,,1,,,,,
2,0.10000000149011612,0.0,69.0,0.0,188.55089999999998,0.0,197.0,93.0,1372761.962890625,1587321943000,9,1587321943000.0,1587332743000.0,0.0,0.0,,,,0.0,0.0,1372761.962890625,0.0,27.0,29.0,39560.00061035156,39560.00061035156,,,0.0,1,,,,,
